codigo,titulo,endereco,bairro,estado,cidade,area,full_address,latitude,longitude,regiao,nome,preco,volume_medio,dividend_yield,patrimonio_liquido,p_vp,cotas,segmento,valorizacao_12_meses,patrimonio_liquido_em_milhoes
AGCX11,Ag Barra Funda,"Avenida Rio Branco, 1675 (Loja)",Campos Eliseos,SP,São Paulo,"1.293,02 m2","Avenida Rio Branco, 1675 (Loja), São Paulo, SP",-23.53,-46.6474,Sudeste,FDO INV IMOB AGÊNCIAS CAIXA - FII,1235.5,240,0.69,430000000.0,1.16,405000.0,Outros,0.0,430.0
AGCX11,Ag Campo Limpo,"Estrada do Campo Limpo, 5520",Vila Pirajussara,SP,São Paulo,"604,00 m2","Estrada do Campo Limpo, 5520, São Paulo, SP",-23.6205,-46.7577,Sudeste,FDO INV IMOB AGÊNCIAS CAIXA - FII,1235.5,240,0.69,430000000.0,1.16,405000.0,Outros,0.0,430.0
AGCX11,Ag Capão Redondo,"Estrada de Itapecerica, 3429",Vila Maracana,SP,São Paulo,"1.448,48 m2","Estrada de Itapecerica, 3429, São Paulo, SP",-23.6568,-46.7633,Sudeste,FDO INV IMOB AGÊNCIAS CAIXA - FII,1235.5,240,0.69,430000000.0,1.16,405000.0,Outros,0.0,430.0
AGCX11,Ag Guaianases,"Rua Salvador Gianetti, 436",Guaianases,SP,São Paulo,"2.475,10 m2","Rua Salvador Gianetti, 436, São Paulo, SP",-23.5424,-46.4182,Sudeste,FDO INV IMOB AGÊNCIAS CAIXA - FII,1235.5,240,0.69,430000000.0,1.16,405000.0,Outros,0.0,430.0
AGCX11,Ag Guarapiranga,"Avenida de Pinedo, 228",Capela do Socorro,SP,São Paulo,"1.312,18 m2","Avenida de Pinedo, 228, São Paulo, SP",-23.6675,-46.7132,Sudeste,FDO INV IMOB AGÊNCIAS CAIXA - FII,1235.5,240,0.69,430000000.0,1.16,405000.0,Outros,0.0,430.0
AGCX11,Ag Hebraica,"Avenida Brigadeiro Faria Lima, 1644",Jardim Paulistano,SP,São Paulo,"323,31 m2","Avenida Brigadeiro Faria Lima, 1644, São Paulo, SP",-23.5722,-46.6903,Sudeste,FDO INV IMOB AGÊNCIAS CAIXA - FII,1235.5,240,0.69,430000000.0,1.16,405000.0,Outros,0.0,430.0
AGCX11,Ag Imirim,"Avenida Imirim, 1271",Imirim,SP,São Paulo,"1.384,34 m2","Avenida Imirim, 1271, São Paulo, SP",-23.4941,-46.6467,Sudeste,FDO INV IMOB AGÊNCIAS CAIXA - FII,1235.5,240,0.69,430000000.0,1.16,405000.0,Outros,0.0,430.0
AGCX11,Ag Jardim da Saúde,"Avenida do Cursino, 1348",Jardim da Saúde,SP,São Paulo,"1.833,14 m2","Avenida do Cursino, 1348, São Paulo, SP",-23.6142,-46.6173,Sudeste,FDO INV IMOB AGÊNCIAS CAIXA - FII,1235.5,240,0.69,430000000.0,1.16,405000.0,Outros,0.0,430.0
AGCX11,Ag Paes Leme,"Rua Paes Leme, 250 258",Pinheiros,SP,São Paulo,"903,60 m2","Rua Paes Leme, 250 258, São Paulo, SP",-23.5676,-46.6987,Sudeste,FDO INV IMOB AGÊNCIAS CAIXA - FII,1235.5,240,0.69,430000000.0,1.16,405000.0,Outros,0.0,430.0
AGCX11,Ag Pátio do Colégio,"Lg. Páteo do Colégio, 1",Centro,SP,São Paulo,"676,00 m2","Lg. Páteo do Colégio, 1, São Paulo, SP",-23.5485,-46.6322,Sudeste,FDO INV IMOB AGÊNCIAS CAIXA - FII,1235.5,240,0.69,430000000.0,1.16,405000.0,Outros,0.0,430.0
