codigo,titulo,endereco,bairro,estado,cidade,area,full_address,latitude,longitude
ABCP11,Grand Plaza Shopping,"Avenida Industrial, 600",Tamanduateí 3,SP,Santo André,"69.628,00 m2","Avenida Industrial, 600, Santo André, SP",-23.6497,-46.5323
AEFI11,Campinas,"Avenida John Boyd Dunlop, s/n",Jardim Ipaussurama,SP,Campinas,"96.435,16 m2","Avenida John Boyd Dunlop, s/n, Campinas, SP",-22.9102,-47.0957
AEFI11,Cuiabá,"Avenida Fernando Corrêa da Costa, s/nº",Nossa Senhora Aparecida,MT,Cuiabá,"25.000,00 m2","Avenida Fernando Corrêa da Costa, s/nº, Cuiabá, MT",-15.6099,-56.0783
AGCX11,Ag 14 Bis,"Avenida Marechal Câmara, 160",Centro,RJ,Rio de Janeiro,"1.900,31 m2","Avenida Marechal Câmara, 160, Rio de Janeiro, RJ",-22.9098,-43.1691
AGCX11,Ag Avenida Chile,"Avenida República do Chile, 230",Centro,RJ,Rio de Janeiro,"1.139,67 m2","Avenida República do Chile, 230, Rio de Janeiro, RJ",-33.4313,-70.6436
AGCX11,Ag Avenida Pres. Wilson,"Avenida Rio Branco, 311-B",Centro,RJ,Rio de Janeiro,"713,62 m2","Avenida Rio Branco, 311-B, Rio de Janeiro, RJ",-22.9123,-43.1747
AGCX11,Ag Bandeira,"Rua Mariz e Barros, 79 (Loja)",Praça da Bandeira,RJ,Rio de Janeiro,"1.339,00 m2","Rua Mariz e Barros, 79 (Loja), Rio de Janeiro, RJ",-22.9125,-43.2154
AGCX11,Ag Barra Funda,"Avenida Rio Branco, 1675 (Loja)",Campos Eliseos,SP,São Paulo,"1.293,02 m2","Avenida Rio Branco, 1675 (Loja), São Paulo, SP",-23.53,-46.6474
AGCX11,Ag Benedito Coutinho,"Rua Antônio Bernardo Coutinho, 163",Centro,SP,Osasco,"1.206,10 m2","Rua Antônio Bernardo Coutinho, 163, Osasco, SP",-23.5308,-46.7773
AGCX11,Ag Campo Limpo,"Estrada do Campo Limpo, 5520",Vila Pirajussara,SP,São Paulo,"604,00 m2","Estrada do Campo Limpo, 5520, São Paulo, SP",-23.6205,-46.7577
AGCX11,Ag Capão Redondo,"Estrada de Itapecerica, 3429",Vila Maracana,SP,São Paulo,"1.448,48 m2","Estrada de Itapecerica, 3429, São Paulo, SP",-23.6568,-46.7633
AGCX11,Ag Carapicuiba,"Avenida Rui Barbosa, 281 (Calçadão)",Centro,SP,Carapicuiba,"1.949,20 m2","Avenida Rui Barbosa, 281 (Calçadão), Carapicuiba, SP",-23.5208,-46.834
AGCX11,Ag Cipó Guaçu,"Rua Sesefredo Klein Doll, 12",Cipó Guaçu,SP,Embu-Guaçu,"551,00 m2","Rua Sesefredo Klein Doll, 12, Embu-Guaçu, SP",-23.8864,-46.7957
AGCX11,Ag Estrada Rio do A,"Estrada Rio do A, 1131",,RJ,Campo Grande,"571,41 m2","Estrada Rio do A, 1131, Campo Grande, RJ",-22.8974,-43.5651
AGCX11,Ag Guaianases,"Rua Salvador Gianetti, 436",Guaianases,SP,São Paulo,"2.475,10 m2","Rua Salvador Gianetti, 436, São Paulo, SP",-23.5424,-46.4182
AGCX11,Ag Guarapiranga,"Avenida de Pinedo, 228",Capela do Socorro,SP,São Paulo,"1.312,18 m2","Avenida de Pinedo, 228, São Paulo, SP",-23.6675,-46.7132
AGCX11,Ag Hebraica,"Avenida Brigadeiro Faria Lima, 1644",Jardim Paulistano,SP,São Paulo,"323,31 m2","Avenida Brigadeiro Faria Lima, 1644, São Paulo, SP",-23.5722,-46.6903
AGCX11,Ag Imirim,"Avenida Imirim, 1271",Imirim,SP,São Paulo,"1.384,34 m2","Avenida Imirim, 1271, São Paulo, SP",-23.4941,-46.6467
AGCX11,Ag Inconfidencia,"Rua Curitiba, 888",Centro,MG,Belo Horizonte,"2.373,17 m2","Rua Curitiba, 888, Belo Horizonte, MG",-19.9202,-43.9419
AGCX11,Ag Industrial,"Avenida Comendador Alexandrino Garcia, 1285",Marta Helena,MG,Uberlândia,"552,00 m2","Avenida Comendador Alexandrino Garcia, 1285, Uberlândia, MG",-18.8816,-48.2682
AGCX11,Ag Ipanema,"Rua Visconde de Pirajá, 127",Ipanema,RJ,Rio de Janeiro,"510,00 m2","Rua Visconde de Pirajá, 127, Rio de Janeiro, RJ",-22.9847,-43.1993
AGCX11,Ag Itaquaquecetuba,"Rua Sebastião Ferreira dos Santos, 93",Centro,SP,Itaquaquecetuba,"2.342,10 m2","Rua Sebastião Ferreira dos Santos, 93, Itaquaquecetuba, SP",-23.4771,-46.353
AGCX11,Ag Jardim da Saúde,"Avenida do Cursino, 1348",Jardim da Saúde,SP,São Paulo,"1.833,14 m2","Avenida do Cursino, 1348, São Paulo, SP",-23.6142,-46.6173
AGCX11,Ag Jundiapeba,"Alameda Santo Ângelo, 118",Jundiapeba,SP,Mogi das Cruzes,"593,44 m2","Alameda Santo Ângelo, 118, Mogi das Cruzes, SP",-23.5441,-46.2583
AGCX11,Ag Leme,"Rua Antônio Vieira, 24 - Loja A",Leme,RJ,Rio de Janeiro,"696,80 m2","Rua Antônio Vieira, 24 - Loja A, Rio de Janeiro, RJ",-22.9634,-43.1727
AGCX11,Ag Meier,"Rua Dias da Cruz, 28-A (Loja)",Meier,RJ,Rio de Janeiro,"1.483,53 m2","Rua Dias da Cruz, 28-A (Loja), Rio de Janeiro, RJ",-22.9019,-43.2788
AGCX11,Ag Nova Iguacu,"Avenida Marechal Floriano Peixoto, 2370",Centro,RJ,Nova Iguaçu,"3.256,00 m2","Avenida Marechal Floriano Peixoto, 2370, Nova Iguaçu, RJ",-22.7586,-43.4538
AGCX11,Ag Osasco,"Avenida das Esmeraldas, 512",Mutinga,SP,Osasco,"804,00 m2","Avenida das Esmeraldas, 512, Osasco, SP",-23.5062,-46.7707
AGCX11,Ag Paes Leme,"Rua Paes Leme, 250 258",Pinheiros,SP,São Paulo,"903,60 m2","Rua Paes Leme, 250 258, São Paulo, SP",-23.5676,-46.6987
AGCX11,Ag Pátio do Colégio,"Lg. Páteo do Colégio, 1",Centro,SP,São Paulo,"676,00 m2","Lg. Páteo do Colégio, 1, São Paulo, SP",-23.5485,-46.6322
AGCX11,Ag Pedro Vicente,"Rua Pedro Vicente, 222",Luz,SP,São Paulo,"814,20 m2","Rua Pedro Vicente, 222, São Paulo, SP",-23.5255,-46.6268
AGCX11,Ag Pirituba,"Rua Guerino Giovani Leardini, 63/67",Vila Pirituba,SP,São Paulo,"1.368,00 m2","Rua Guerino Giovani Leardini, 63/67, São Paulo, SP",-23.4877,-46.7211
AGCX11,Ag Planalto Paulista,"Avenida Indianópolis, 2125",Indianopolis,SP,São Paulo,"1.299,00 m2","Avenida Indianópolis, 2125, São Paulo, SP",-23.6168,-46.6489
AGCX11,Ag Pq. Maria Helena,"Avenida VeRua João Batista Fitipaldi, 115",Vila Maluf,SP,Suzano,"581,00 m2","Avenida VeRua João Batista Fitipaldi, 115, Suzano, SP",-23.5329,-46.3075
AGCX11,Ag Quitauna,"Avenida dos Autonomistas, 5386",Vila Yara,SP,Osasco,"2.250,00 m2","Avenida dos Autonomistas, 5386, Osasco, SP",-23.5261,-46.7988
AGCX11,Ag Rua dos Italianos,"Rua dos Italianos, 609",Bom Retiro,SP,São Paulo,"520,50 m2","Rua dos Italianos, 609, São Paulo, SP",-23.5247,-46.644
AGCX11,Ag Rec Bandeirantes,"Avenida das Américas, 15545",Recreio dos Bandeirantes,RJ,Rio de Janeiro,"919,00 m2","Avenida das Américas, 15545, Rio de Janeiro, RJ",-23.0145,-43.4653
AGCX11,Ag Rio Claro,"Avenida 1, 500",Centro,SP,Rio Claro,"542,70 m2","Avenida 1, 500, Rio Claro, SP",-22.4106,-47.563
AGCX11,Ag Santa Cecilia,"Rua das Palmeiras, 233 (Loja)",Vila Buarque,SP,São Paulo,"1.205,86 m2","Rua das Palmeiras, 233 (Loja), São Paulo, SP",-23.5374,-46.6512
