codigo;nome;preco;volume_medio;dividend_yield;patrimonio_liquido;p_vp;cotas;segmento;valorizacao_12_meses
ABCP11;FDO INV IMOB GRAND PLAZA SHOPPING;R$ 99,78;4519;0.44;R$ 910 mi;1.35;1000000;Shoppings;0.15
AEFI11;AESAPAR FDO INV IMOB - FII;R$ 174,90;2065;0.71;R$ 110 mi;1.15;752500;Outros;0.03
AGCX11;FDO INV IMOB AGÊNCIAS CAIXA - FII;R$ 1.235,50;240;0.69;R$ 430 mi;1.16;405000;Outros;0.0
ALZR11;ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB;R$ 97,50;3435;0.69;R$ 97 mi;1;997042;Outros;0.02
BBFI11B;BB FDO INV IMOB PROGRESSIVO;R$ 2.388,00;144;1.04;R$ 400 mi;0.78;130000;Lajes Corporativas;0.14
BBPO11;BB PROGRESSIVO II FDO INV IMOB - FII;R$ 139,00;21486;0.73;R$ 1,6 bi;1.35;15919690;Lajes Corporativas;0.08
BBRC11;BB RENDA CORPORATIVA FDO INV IMOB - FII;R$ 132,60;1006;0.69;R$ 160 mi;1.3;1590000;Outros;0.06
BBVJ11;FDO INV IMOB BB VOTORANTIM JHSF C JARD CONT TOWER;R$ 58,04;5071;0.61;R$ 160 mi;0.99;2710000;Lajes Corporativas;-0.02
BCFF11;FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS;R$ 84,51;27383;0.62;R$ 730 mi;0.98;1452738;Títulos e Val. Mob.;-0.04
BCIA11;BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII;R$ 115,01;890;0.68;R$ 210 mi;0.94;820115;Títulos e Val. Mob.;0.06
BCRI11;BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB  FII;R$ 119,70;3217;0.76;R$ 120 mi;1.19;500000;Títulos e Val. Mob.;0.02
BMLC11B;FDO INV IMOB BM BRASCAN LAJES CORPORATIVAS - FII;R$ 78,02;336;0.48;R$ 93 mi;0.84;998405;Lajes Corporativas;0.1
BNFS11;BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII;R$ 118,49;221;0.75;R$ 64 mi;1.3;700000;Outros;0.02
BPFF11;FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS;R$ 91,00;4116;0.70;R$ 260 mi;0.95;2000000;Títulos e Val. Mob.;-0.03
BRCR11;FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND;R$ 88,90;29105;0.47;R$ 2,1 bi;0.82;5000;Híbrido;-0.14
BTCR11;FDO INV IMOB BTG PACTUAL CREDITO IMOBILIARIO;R$ 100,52;615;0.63;R$ 69 mi;1;680000;Títulos e Val. Mob.;0.0
BZLI11;BRAZIL REALTY FDO INV IMOB;R$ 14,70;16803;0.00;R$ 400 mi;1.2;12021180;Títulos e Val. Mob.;-0.02
CARE11;BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII;R$ 1,38;48490;0.00;R$ 220 mi;0.98;415700;Híbrido;0.03
CBOP11;CASTELLO BRANCO OFFICE PARK FDO INV IMOB - FII;R$ 71,32;935;0.65;R$ 110 mi;0.91;141500;Lajes Corporativas;0.1
CEOC11;FDO INV IMOB - FII CEO CYRELA COMMERC. PROPERTIES;R$ 85,02;1266;0.64;R$ 160 mi;0.96;850813;Lajes Corporativas;0.07
CPTS11B;CAPITANIA SECURITIES II FDO INV IMOB - FII;R$ 99,99;3125;0.67;R$ 150 mi;1.03;500000;Títulos e Val. Mob.;-0.02
CTXT11;FDO INV IMOB CENTRO TEXTIL INTERNACIONAL;R$ 62,00;513;0.57;R$ 120 mi;1.3;12000000;Lajes Corporativas;-0.01
CXCE11B;FDO INV IMOB CAIXA CEDAE;R$ 2.397,00;30;0.83;R$ 140 mi;1.14;68518;Outros;-0.08
CXRI11;CAIXA RIO BRAVO FUNDO DE FDO INV IMOB - FII;R$ 1.005,02;84;0.69;R$ 170 mi;0.92;157576;Híbrido;-0.01
CXTL11;FDO INV IMOB CAIXA TRX LOGÍSTICA RENDA;R$ 440,00;30;0.18;R$ 38 mi;0.62;53597;Logística;-0.27
DMAC11;MAC FDO INV IMOB;R$ 681,00;329;0.77;R$ 210 mi;0.51;156108;Residencial;0.0
DOMC11;DOMO FDO INV IMOB - FII;R$ 495,99;71;0.00;R$ 240 mi;0.5;175000;Lajes Corporativas;0.0
DRIT11B;MULTIGESTÃO RENDA COMERCIAL FDO INV IMOB - FII;R$ 189,00;9;0.34;R$ 58 mi;1.51;20000;Lajes Corporativas;0.03
EDFO11B;FDO INV IMOB EDIFÍCIO OURINVEST;R$ 298,01;45;0.58;R$ 44 mi;1.61;236000;Lajes Corporativas;0.04
EURO11;FDO INV IMOB EUROPAR;R$ 152,40;234;0.39;R$ 120 mi;0.48;440000;Logística;0.03
FAMB11B;FDO INV IMOB - FII EDIFÍCIO ALMIRANTE BARROSO;R$ 2.550,00;100;1.14;R$ 330 mi;0.8;104800;Lajes Corporativas;-0.31
FCFL11;FDO INV IMOB - FII CAMPUS FARIA LIMA;R$ 2.128,61;71;0.55;R$ 300 mi;1.18;167000;Outros;0.15
FFCI11;FDO INV IMOB RIO BRAVO RENDA CORPORATIVA;R$ 167,99;3577;0.30;R$ 370 mi;0.98;38810000;Lajes Corporativas;-0.03
FIGS11;FDO INV IMOB GENERAL SHOPPING ATIVO E RENDA - FII;R$ 69,16;10404;1.19;R$ 250 mi;0.72;2591500;Shoppings;0.02
FIIB11;FDO INV IMOB INDUSTRIAL DO BRASIL;R$ 448,39;1571;0.59;R$ 270 mi;1.15;664516;Híbrido;-0.0
FIIP11B;RB CAPITAL RENDA I FDO INV IMOB - FII;R$ 193,00;663;0.64;R$ 180 mi;1;100;Logística;0.08
FIVN11;FDO INV IMOB VIDA NOVA - FII;R$ 2,90;683;0.00;R$ 82 mi;0.33;9412630;Shoppings;-0.07
FIXX11;FATOR IFIX FDO INV IMOB - FII;R$ 81,57;438;0.47;R$ 34 mi;0.88;365972;Títulos e Val. Mob.;-0.03
FLMA11;FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA;R$ 3,50;35560;0.39;R$ 200 mi;1.21;69033500;Híbrido;0.09
FLRP11;FDO INV IMOB - FII FLORIPA SHOPPING;R$ 1.280,00;29;0.45;R$ 74 mi;0.96;48000;Shoppings;-0.06
FMOF11;FDO INV IMOB MEMORIAL OFFICE;R$ 83,49;208;0.00;R$ 68 mi;0.63;508008;Lajes Corporativas;0.01
FOFT11;CSHG TOP FOFII 2 FDO INV IMOB - FII;R$ 91,80;261;0.60;R$ 110 mi;0.96;119604;Títulos e Val. Mob.;0.31
FPAB11;FDO INV IMOB PROJETO ÁGUA BRANCA;R$ 350,00;60;0.51;R$ 280 mi;0.94;750000;Lajes Corporativas;0.08
FVPQ11;FDO INV IMOB VIA PARQUE SHOPPING - FII;R$ 185,00;1763;0.53;R$ 520 mi;0.98;2120589;Shoppings;0.04
GGRC11;GGR COVEPI RENDA FDO INV IMOB;R$ 131,15;25338;0.51;R$ 750 mi;1.13;1413807;Logística;0.02
GRLV11;CSHG GR LOUVEIRA FDO DE INV IMOB - FII;R$ 111,26;3483;0.58;R$ 120 mi;0.98;107353;Logística;-0.04
HBTT11;FDO INV IMOB HABITAT I;R$ 1.150,00;10;0.83;R$ 170 mi;0.88;66567;Outros;0.2
